timestamp,branch,commit_sha,benchmark_name,mean_ns,stddev_ns,median_ns,lower_ns,upper_ns,comments
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,fib 5 plain rust,2.884933744506248,0.13311632828097822,2.859423145123796,2.8600469780680444,2.911802619036139,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,fib 5 wasm transpiled to rust,7.479133053760439,0.046883276993861314,7.464744734293669,7.470858290955531,7.488917225016406,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,"gcd(46368,28657) plain rust",27.245181261976512,0.8562532645658505,26.94299874976344,27.09484179985255,27.427279797235887,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,"gcd(46368,28657) wasm transpiled to rust",105.78454408585159,1.9930872806781919,105.3542796205096,105.47076511576793,106.23203767630471,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,isqrt 1000000 plain rust,27.479838757170295,0.4910839887980637,27.2907258006217,27.39123795143045,27.581383786669704,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,isqrt 1000000 wasm transpiled to rust,49.06120576815761,0.5085574522887549,48.99418530240474,48.957325319637945,49.15704013064892,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,memsort 100 plain rust,2936.1156462629174,65.09764496177583,2917.6443859173623,2923.8298083550126,2949.158270943901,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,memsort 100 wasm transpiled to rust,40284.3460490696,404.0725823682537,40088.61756410256,40207.90290801431,40365.55910171585,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,popcount 0xDEADBEEF plain rust,1.6944857677309773,0.1022614534291038,1.6714785674240047,1.6788441264304348,1.7176225819605695,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,popcount 0xDEADBEEF wasm transpiled to rust,1.7820629421375218,0.012972978406863333,1.7780906094269935,1.7796994131850816,1.7847663583016318,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,sum_recursive 100 plain rust,0.8038946775628982,0.006625534829952705,0.8010593004874551,0.802668753976874,0.8052506892030107,Even more test values
2026-03-23T08:17:33Z,performance-metrics,47776f9f3a22ea9d8b0f355bcb0183758d80ad7f,sum_recursive 100 wasm transpiled to rust,0.800624412024742,0.0034672609313867054,0.7996404099572461,0.8000036481093245,0.8013540132958755,Even more test values
2026-03-23T08:30:11Z,main,136373bf1cf3603bd0edb206ac0795abbbc5a590,collatz 27 plain rust,76.15488099664772,13.64798487321396,73.79743647721313,74.33236103185894,79.30093349083351,Initial values on main
2026-03-23T08:30:11Z,main,136373bf1cf3603bd0edb206ac0795abbbc5a590,collatz 27 wasm transpiled to rust,102.01361585561857,1.0245244541233518,101.67480767909885,101.83279130485546,102.23216942834284,Initial values on main
